Food_Item,Sodium_Level (mg),Taste_Score,Enhancement,Spicy Level,Texture,Calorie Count,Protiens (g),Fat(g),Carbs(g),Sugar(g),Fiber(g),Cuisine,Prep Method,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16
Sushi,500,9,Natural,Low,Soft,300,15.0,5.0,45,3.0,2,Japanese,Raw,5.2167808162343565,0.4552726087627801,7.267700628827778,0.4326144744630944,0.5537720751026931,4.195127459626359,1.4511585736657673,0.3300569042460333,5.835827670127678,9.180069532457104,4.970903975559446,5.984911116258097,5.969328418125762,3.4456124134933495,3.098103862196284,2.056484698909121
Tacos,350,8,Artificial,Medium,Crunchy,350,12.0,10.0,40,2.0,3,Mexican,Grilled,0.9297175745031216,2.553653488476535,3.8175215727877223,6.185900122318531,6.478961631669319,8.066862940726335,6.770377697297899,3.1987823347418374,0.7158796160267822,4.09270252020848,5.871865987622833,2.484102920355471,7.933507475834012,6.991192039603378,8.472032676853344,1.8870820206894112
Sandwich,400,7,No,Low,Soft,320,10.0,8.0,42,4.0,3,America,Baked,8.860772219385641,9.084328998250932,8.722232156050493,2.755141897032635,5.046438650728388,6.701716100346328,7.432010501456528,7.345446190348536,4.587213588137576,5.884942299721096,5.931115853258887,3.6195945606146083,4.715212492286447,2.611025940669794,6.202608358547094,2.864174477169409
Popcorn,250,8,Artificial,Low,Crunchy,150,3.0,5.0,18,0.0,4,America,Popped,9.880839261338924,1.4831370451918935,2.7230554876088533,4.948446700900018,5.004340124290923,4.515666068360869,9.564675683169755,5.8434974443104775,8.873434260401664,5.037711234097431,4.517082630410907,2.2186273698790093,5.586758990072973,3.728373943917581,2.4817260516705786,6.263387963413325
Donut,100,9,No,Low,Soft,400,4.0,20.0,50,30.0,2,America,Fried,7.2426216112899935,4.954744250751057,0.18557928260469092,1.325420941727944,5.834646547679387,6.22140411027026,1.9354808194712314,5.063556087309177,0.4756595755473991,8.604994450395454,7.829322309415815,3.23223557168928,6.245931096323075,7.256925822158985,2.8488516423072205,7.776985457528451
Ramen,1200,7,Natural,High,Chewy,500,10.0,15.0,60,5.0,3,Japanese,Boiled,1.8232570429037154,1.976508198015987,0.6441013508084414,9.132091221792649,2.4385557227103396,7.247255919619763,4.921959627503371,9.284059026982787,4.15285112213307,3.8209278601206256,8.30775606189767,7.633789501108369,6.430143655539343,7.918685558610079,1.6100610594904141,7.010219797478156
Hot Dog,850,6,Artificial,Medium,Chewy,450,12.0,25.0,35,5.0,2,America,Grilled,4.3252053855115555,5.162968359253622,7.842105009394398,2.632693579237204,3.2526262024496875,5.446032277321201,2.5909710387402884,9.375307017589527,3.969604598443448,2.0744086169713216,2.0674864111537827,7.235794631725233,7.349064902766509,0.3713561303844237,9.808123751577593,1.4856001987417866
Pancakes,180,9,No,Low,Soft,350,8.0,10.0,45,20.0,3,America,Baked,2.2220693110957046,2.257049951722717,0.3462255870410835,8.74196434593869,2.5265593913601583,2.656330915307008,2.5452103678429916,9.252363247632177,9.246784873140793,4.732483094270088,9.56457659708946,6.768049587221535,7.33691508345512,0.4686478643925063,2.5596703927695863,6.863611442016121
Fried Rice,650,8,Natural,Medium,Soft,500,10.0,15.0,65,3.0,4,Chinese,Fried,9.387064735380637,7.518892166788679,0.5259281600837074,7.4213973461787255,8.688157675274388,2.4290488541642032,6.97897931753325,5.588933673550583,2.7694657076325213,2.5376843438182606,7.68528414980546,0.9899063802645225,4.711992976098212,0.5747119442467774,9.562399678001922,7.202645615462018
Nachos,300,7,Artificial,High,Crispy,400,8.0,20.0,50,2.0,3,Mexican,Fried,0.6482864638426167,6.8583751272084434,4.979426809176686,4.39696380481765,0.6935904933050774,1.1576277074527541,7.732456265971814,5.612312215084879,2.161289554722796,4.694414138091789,9.748109304024998,1.570090952413622,5.842246965402451,0.40839040546861827,9.27361678928033,0.02271121832124523
Dosa,200,9,Natural,Medium,Crispy,180,4.0,5.0,30,2.0,3,Indian,Grilled,1.3786742638769667,2.5107414412431295,3.645207713133458,3.463316840057906,8.262684329952721,0.6146306505412291,1.5121066356233204,6.909807613959012,5.258610819861208,8.769575583574266,0.5053278334436628,9.256105276810324,7.783095350380015,3.6315593227024245,1.365248769705606,7.763198075656991
Paneer Tikka,400,8,Natural,High,Soft,280,15.0,15.0,15,4.0,2,Indian,Grilled,4.284333761777253,1.0689722857407247,7.915315016463968,4.156284135813651,1.1642878316927874,3.4480226049113902,9.313193951479061,6.4626451190671315,9.775381581802865,4.156109886953886,1.0513047573633505,9.70053602566124,3.1729773199824365,6.177026261274827,9.24568954280994,7.905619775781378
Butter Chicken,600,9,Artificial,High,Creamy,500,25.0,20.0,20,5.0,2,Indian,Cooked,5.7726833371315625,3.9925342426356014,4.304114426332054,3.4779155754228053,5.2390604979549344,6.8656019546237355,8.912587178791558,9.791516266191215,9.31730794320186,5.8023589538210905,5.776328833937833,5.852230756328417,9.997835810212024,7.937705845295913,5.132851011763241,3.093773936130196
 Miso Soup,750,7,Natural,Low,Liquid,90,4.0,10.0,10,1.0,1,Japanese,Boiled,0.7935508076853637,8.823593389399967,0.5060757691447737,1.2482119556075943,6.7768121149335405,8.281186678764227,0.23076778217801297,3.5719078859177325,7.875133859574021,2.720246906714677,2.5587800078696588,3.2061063202598303,9.687956008906095,0.8914414591465802,3.3167229518509265,3.6296247137130946
Kimchi,300,7,Natural,High,Crunchy,50,2.0,10.0,10,3.0,4,Korean,Fermented,2.3708708140868575,0.16068609322222316,5.939893825818682,9.0786534027977,9.47815571844747,6.346019434156084,0.3940371957763389,4.059184998000944,2.7720963091357143,2.0177275740516167,7.593611454636204,1.5275029921814887,1.364319677410396,9.639606628419466,3.7928486142051465,7.007591958526564
Shawarma,550,8,No,Medium,Chewy,450,22.0,40.0,40,4.0,3,Middle Eastern,Grilled,1.2847308452906525,6.578097450629009,9.419091193484235,7.185659178122739,8.950955512127871,2.8892481004459922,1.1324222367258796,0.8295966629383467,8.605169754478407,1.4172902826896094,1.420423995485468,9.93391214455238,8.492480684055819,5.5702780127245575,9.784580341784054,5.143836654984461
Pasta Alfredo,350,9,No,Low,Creamy,600,15.0,70.0,70,5.0,3,Italian,Boiled,6.4490019098243305,9.836518893297947,8.200553717700117,0.3867342736388035,9.132896881606515,7.936698889013995,2.761668122374915,3.896008826159246,9.92047700065778,2.3378711954735607,2.838991398960652,7.966780093637129,4.748682966761143,8.755368420477813,8.722473938798217,5.735098861353122
Lasagna,500,8,Artificial,Medium,Soft,700,22.0,60.0,60,8.0,4,Italian,Baked,3.386772169933321,6.202611602472885,9.41639447082711,2.361513656749729,4.875918114246752,0.3962374752603415,5.667617762422142,1.3175242534652964,4.170732035695103,8.248021204515112,3.0734158728762715,7.8947632239758105,7.155968811563057,7.072336946365063,1.7883455587778396,9.445750148494707
 Sushi Rolls,480,9,Natural,Low,Soft,350,12.0,45.0,45,3.0,2,Japanese,Raw,8.491712700742431,2.5501586492655903,0.6264789738286869,6.405616271261763,8.793758855980556,6.696666015956493,2.400545558034711,5.142317940946749,8.42922471562204,4.0581727013167,1.6795690331372615,8.965073871288208,4.466075095922263,6.294957948404367,3.0977870046117295,7.67130870597787
Cheesecake,200,9,No,Low,Creamy,450,8.0,50.0,50,30.0,1,America,Baked,5.529756251030192,0.2685321554908182,2.084829269471257,4.105921512542361,4.057885089872491,5.369699369049902,0.2418641428323831,4.69724600535822,0.23411934236279297,6.998318828312049,8.345360638577716,4.96841782820427,3.4258860270113534,2.8429514512297818,2.1379371073891704,5.084214026034418
 Miso Soup,750,7,Natural,Low,Liquid,90,4.0,10.0,10,1.0,1,Japanese,Boiled,0.7935508076853637,8.823593389399967,0.5060757691447737,1.2482119556075943,6.7768121149335405,8.281186678764227,0.23076778217801297,3.5719078859177325,7.875133859574021,2.720246906714677,2.5587800078696588,3.2061063202598303,9.687956008906095,0.8914414591465802,3.3167229518509265,3.6296247137130946
Dosa,200,9,Natural,Medium,Crispy,180,4.0,5.0,30,2.0,3,Indian,Grilled,1.3786742638769667,2.5107414412431295,3.645207713133458,3.463316840057906,8.262684329952721,0.6146306505412291,1.5121066356233204,6.909807613959012,5.258610819861208,8.769575583574266,0.5053278334436628,9.256105276810324,7.783095350380015,3.6315593227024245,1.365248769705606,7.763198075656991
Sushi,500,9,Natural,Low,Soft,300,15.0,5.0,45,3.0,2,Japanese,Raw,5.2167808162343565,0.4552726087627801,7.267700628827778,0.4326144744630944,0.5537720751026931,4.195127459626359,1.4511585736657673,0.3300569042460333,5.835827670127678,9.180069532457104,4.970903975559446,5.984911116258097,5.969328418125762,3.4456124134933495,3.098103862196284,2.056484698909121
Sushi,500,9,Natural,Low,Soft,300,15.0,5.0,45,3.0,2,Japanese,Raw,5.2167808162343565,0.4552726087627801,7.267700628827778,0.4326144744630944,0.5537720751026931,4.195127459626359,1.4511585736657673,0.3300569042460333,5.835827670127678,9.180069532457104,4.970903975559446,5.984911116258097,5.969328418125762,3.4456124134933495,3.098103862196284,2.056484698909121
Nachos,300,7,Artificial,High,Crispy,400,8.0,20.0,50,2.0,3,Mexican,Fried,0.6482864638426167,6.8583751272084434,4.979426809176686,4.39696380481765,0.6935904933050774,1.1576277074527541,7.732456265971814,5.612312215084879,2.161289554722796,4.694414138091789,9.748109304024998,1.570090952413622,5.842246965402451,0.40839040546861827,9.27361678928033,0.02271121832124523
Pasta Alfredo,350,9,No,Low,Creamy,600,15.0,70.0,70,5.0,3,Italian,Boiled,6.4490019098243305,9.836518893297947,8.200553717700117,0.3867342736388035,9.132896881606515,7.936698889013995,2.761668122374915,3.896008826159246,9.92047700065778,2.3378711954735607,2.838991398960652,7.966780093637129,4.748682966761143,8.755368420477813,8.722473938798217,5.735098861353122
Nachos,300,7,Artificial,High,Crispy,400,8.0,20.0,50,2.0,3,Mexican,Fried,0.6482864638426167,6.8583751272084434,4.979426809176686,4.39696380481765,0.6935904933050774,1.1576277074527541,7.732456265971814,5.612312215084879,2.161289554722796,4.694414138091789,9.748109304024998,1.570090952413622,5.842246965402451,0.40839040546861827,9.27361678928033,0.02271121832124523
Ice Cream,80,9,Artificial,No,Creamy,207,4.0,11.0,24,21.0,0,Global,Frozen,9.678945500581705,8.638478280378425,7.020743620091038,2.7409630151364617,9.47430553161419,5.932481623821854,2.207417233926127,3.088464979189385,1.031108570707704,1.9571225983769092,7.180737363331497,4.850786795036521,8.296550236783883,1.111889942222385,7.686600357142211,8.106271225117895
Butter Chicken,600,9,Artificial,High,Creamy,500,25.0,20.0,20,5.0,2,Indian,Cooked,5.7726833371315625,3.9925342426356014,4.304114426332054,3.4779155754228053,5.2390604979549344,6.8656019546237355,8.912587178791558,9.791516266191215,9.31730794320186,5.8023589538210905,5.776328833937833,5.852230756328417,9.997835810212024,7.937705845295913,5.132851011763241,3.093773936130196
Steak,55,8,Natural,Medium,Chewy,679,62.0,48.0,0,0.0,0,America,Grilled,8.680459197254947,1.328395086417048,2.872448805486547,0.9289872349988804,1.3324738003191472,9.524211204781768,1.916361230677781,9.007816845971604,6.304832290293226,5.726138237786057,5.64783513630278,3.2829333176538498,7.761356584772628,3.262624552203477,0.41981424190965955,4.1997865333316176
Ramen,1200,7,Natural,High,Chewy,500,10.0,15.0,60,5.0,3,Japanese,Boiled,1.8232570429037154,1.976508198015987,0.6441013508084414,9.132091221792649,2.4385557227103396,7.247255919619763,4.921959627503371,9.284059026982787,4.15285112213307,3.8209278601206256,8.30775606189767,7.633789501108369,6.430143655539343,7.918685558610079,1.6100610594904141,7.010219797478156
Cheesecake,200,9,No,Low,Creamy,450,8.0,50.0,50,30.0,1,America,Baked,5.529756251030192,0.2685321554908182,2.084829269471257,4.105921512542361,4.057885089872491,5.369699369049902,0.2418641428323831,4.69724600535822,0.23411934236279297,6.998318828312049,8.345360638577716,4.96841782820427,3.4258860270113534,2.8429514512297818,2.1379371073891704,5.084214026034418
Ramen,1200,7,Natural,High,Chewy,500,10.0,15.0,60,5.0,3,Japanese,Boiled,1.8232570429037154,1.976508198015987,0.6441013508084414,9.132091221792649,2.4385557227103396,7.247255919619763,4.921959627503371,9.284059026982787,4.15285112213307,3.8209278601206256,8.30775606189767,7.633789501108369,6.430143655539343,7.918685558610079,1.6100610594904141,7.010219797478156
Salad,15,6,No,Low,Crunchy,150,5.0,10.0,20,5.0,3,Global,Raw,4.075301444714614,6.940821760812515,3.3306654993005824,2.5026683780644685,3.2488992365448235,0.5450028000266849,0.49346461013301424,2.781874552924055,3.5210670724369066,5.945904568102894,0.5581483114806085,2.9624125362641953,2.504758161235058,7.173042237609858,0.08377596940433385,5.859005087842446
Burger,500,9,Artificial,Medium,Chewy,295,17.0,14.0,30,3.0,2,America,Grilled,3.697219086737067,4.133200099918756,2.2692817787537156,3.8159809828615887,6.366426461485696,2.6522837568680058,7.0702953873654595,5.27716780691684,5.429944283072684,7.950891553623942,0.7868828801045069,8.470263706483529,1.080693060797836,3.997072827085616,1.5734566786034065,9.57383873951972
Pasta,150,7,Artificial,Low,Soft,220,8.0,2.0,42,3.0,2,Italian,Boiled,6.653276863788152,0.8948433535975697,6.850724183252886,3.6295145592194125,0.7461418927718522,3.356464682277985,1.6791764503282014,1.831950524982482,2.146407302094885,2.5619123364433607,5.009472559810733,2.4489745703146104,6.548457881897449,6.97137586183099,2.699804846025615,7.497538538615808
Hot Dog,850,6,Artificial,Medium,Chewy,450,12.0,25.0,35,5.0,2,America,Grilled,4.3252053855115555,5.162968359253622,7.842105009394398,2.632693579237204,3.2526262024496875,5.446032277321201,2.5909710387402884,9.375307017589527,3.969604598443448,2.0744086169713216,2.0674864111537827,7.235794631725233,7.349064902766509,0.3713561303844237,9.808123751577593,1.4856001987417866
Pizza,700,9,Artificial,Low,Soft,285,12.0,10.0,36,3.0,2,Italian,Baked,7.570945212679089,1.2394109148639643,7.1806329992016416,0.39307488317621986,5.4732416602767,2.068863471068809,6.184856214262235,1.525405158060279,0.7775022544915156,6.9321446989862245,5.815938394288399,6.400605599085123,4.990708930699333,6.056533991714104,0.0012244388575477494,3.290029228531276
Soup,900,8,Natural,Low,Liquid,120,6.0,3.0,18,2.0,1,Various,Boiled,5.910713203100245,3.132408276761259,4.263887876155314,1.7932914109509446,6.718162116834075,8.537241707123515,1.1203271936990566,4.9601749964857635,0.33961908676441555,6.887042687017014,2.579593429575231,4.709330372358518,7.000310400549167,2.705246955651196,1.3810077526406217,5.634619345976615
 Sushi Rolls,480,9,Natural,Low,Soft,350,12.0,45.0,45,3.0,2,Japanese,Raw,8.491712700742431,2.5501586492655903,0.6264789738286869,6.405616271261763,8.793758855980556,6.696666015956493,2.400545558034711,5.142317940946749,8.42922471562204,4.0581727013167,1.6795690331372615,8.965073871288208,4.466075095922263,6.294957948404367,3.0977870046117295,7.67130870597787
Sandwich,400,7,No,Low,Soft,320,10.0,8.0,42,4.0,3,America,Baked,8.860772219385641,9.084328998250932,8.722232156050493,2.755141897032635,5.046438650728388,6.701716100346328,7.432010501456528,7.345446190348536,4.587213588137576,5.884942299721096,5.931115853258887,3.6195945606146083,4.715212492286447,2.611025940669794,6.202608358547094,2.864174477169409
Butter Chicken,600,9,Artificial,High,Creamy,500,25.0,20.0,20,5.0,2,Indian,Cooked,5.7726833371315625,3.9925342426356014,4.304114426332054,3.4779155754228053,5.2390604979549344,6.8656019546237355,8.912587178791558,9.791516266191215,9.31730794320186,5.8023589538210905,5.776328833937833,5.852230756328417,9.997835810212024,7.937705845295913,5.132851011763241,3.093773936130196
Nachos,300,7,Artificial,High,Crispy,400,8.0,20.0,50,2.0,3,Mexican,Fried,0.6482864638426167,6.8583751272084434,4.979426809176686,4.39696380481765,0.6935904933050774,1.1576277074527541,7.732456265971814,5.612312215084879,2.161289554722796,4.694414138091789,9.748109304024998,1.570090952413622,5.842246965402451,0.40839040546861827,9.27361678928033,0.02271121832124523
Shawarma,550,8,No,Medium,Chewy,450,22.0,40.0,40,4.0,3,Middle Eastern,Grilled,1.2847308452906525,6.578097450629009,9.419091193484235,7.185659178122739,8.950955512127871,2.8892481004459922,1.1324222367258796,0.8295966629383467,8.605169754478407,1.4172902826896094,1.420423995485468,9.93391214455238,8.492480684055819,5.5702780127245575,9.784580341784054,5.143836654984461
Dosa,200,9,Natural,Medium,Crispy,180,4.0,5.0,30,2.0,3,Indian,Grilled,1.3786742638769667,2.5107414412431295,3.645207713133458,3.463316840057906,8.262684329952721,0.6146306505412291,1.5121066356233204,6.909807613959012,5.258610819861208,8.769575583574266,0.5053278334436628,9.256105276810324,7.783095350380015,3.6315593227024245,1.365248769705606,7.763198075656991
Apple,1,8,No,Low,Soft,95,0.5,0.3,25,19.0,4,America,Raw,1.8274236686570122,4.375049892253501,4.160154672112586,5.555373269003942,4.405706389220276,0.15229737893227235,3.43155762276243,9.912662427728463,3.9756730177158763,7.42832209463236,1.8003985547251666,8.895358960636532,3.1728625037340628,1.1216571654666518,9.650924810693505,6.906988675056417
French Fries,450,9,Artificial,Medium,Crunchy,365,3.4,17.0,48,0.3,3,America,Fried,2.0159998533884425,4.137974665524398,0.7553778059180272,8.944968570594767,0.8266206458395875,3.8793077549956045,7.135982091482822,3.301131313229908,1.7434163049775309,6.253473144331623,8.503704866042158,6.0976836059979975,7.956512128563508,5.204215937773209,6.440495619391902,5.428313623095572
Nachos,300,7,Artificial,High,Crispy,400,8.0,20.0,50,2.0,3,Mexican,Fried,0.6482864638426167,6.8583751272084434,4.979426809176686,4.39696380481765,0.6935904933050774,1.1576277074527541,7.732456265971814,5.612312215084879,2.161289554722796,4.694414138091789,9.748109304024998,1.570090952413622,5.842246965402451,0.40839040546861827,9.27361678928033,0.02271121832124523
Tacos,350,8,Artificial,Medium,Crunchy,350,12.0,10.0,40,2.0,3,Mexican,Grilled,0.9297175745031216,2.553653488476535,3.8175215727877223,6.185900122318531,6.478961631669319,8.066862940726335,6.770377697297899,3.1987823347418374,0.7158796160267822,4.09270252020848,5.871865987622833,2.484102920355471,7.933507475834012,6.991192039603378,8.472032676853344,1.8870820206894112
Butter Chicken,600,9,Artificial,High,Creamy,500,25.0,20.0,20,5.0,2,Indian,Cooked,5.7726833371315625,3.9925342426356014,4.304114426332054,3.4779155754228053,5.2390604979549344,6.8656019546237355,8.912587178791558,9.791516266191215,9.31730794320186,5.8023589538210905,5.776328833937833,5.852230756328417,9.997835810212024,7.937705845295913,5.132851011763241,3.093773936130196
Sushi,500,9,Natural,Low,Soft,300,15.0,5.0,45,3.0,2,Japanese,Raw,5.2167808162343565,0.4552726087627801,7.267700628827778,0.4326144744630944,0.5537720751026931,4.195127459626359,1.4511585736657673,0.3300569042460333,5.835827670127678,9.180069532457104,4.970903975559446,5.984911116258097,5.969328418125762,3.4456124134933495,3.098103862196284,2.056484698909121
Chocolate,20,9,No,No,Smooth,208,2.0,13.0,24,18.0,3,Global,Processed,0.684238275747312,7.1699122076169575,4.609659361481655,0.3266655221444492,1.0835743022795141,2.4336690790745905,3.830201975800623,9.651217048315422,5.357811514767486,1.3312711806434196,8.575690709134417,3.507495244042822,7.533087329094932,8.205147616161995,5.49923449952095,5.063597128741115
Soup,900,8,Natural,Low,Liquid,120,6.0,3.0,18,2.0,1,Various,Boiled,5.910713203100245,3.132408276761259,4.263887876155314,1.7932914109509446,6.718162116834075,8.537241707123515,1.1203271936990566,4.9601749964857635,0.33961908676441555,6.887042687017014,2.579593429575231,4.709330372358518,7.000310400549167,2.705246955651196,1.3810077526406217,5.634619345976615
Apple,1,8,No,Low,Soft,95,0.5,0.3,25,19.0,4,America,Raw,1.8274236686570122,4.375049892253501,4.160154672112586,5.555373269003942,4.405706389220276,0.15229737893227235,3.43155762276243,9.912662427728463,3.9756730177158763,7.42832209463236,1.8003985547251666,8.895358960636532,3.1728625037340628,1.1216571654666518,9.650924810693505,6.906988675056417
Chocolate,20,9,No,No,Smooth,208,2.0,13.0,24,18.0,3,Global,Processed,0.684238275747312,7.1699122076169575,4.609659361481655,0.3266655221444492,1.0835743022795141,2.4336690790745905,3.830201975800623,9.651217048315422,5.357811514767486,1.3312711806434196,8.575690709134417,3.507495244042822,7.533087329094932,8.205147616161995,5.49923449952095,5.063597128741115
Nachos,300,7,Artificial,High,Crispy,400,8.0,20.0,50,2.0,3,Mexican,Fried,0.6482864638426167,6.8583751272084434,4.979426809176686,4.39696380481765,0.6935904933050774,1.1576277074527541,7.732456265971814,5.612312215084879,2.161289554722796,4.694414138091789,9.748109304024998,1.570090952413622,5.842246965402451,0.40839040546861827,9.27361678928033,0.02271121832124523
French Fries,450,9,Artificial,Medium,Crunchy,365,3.4,17.0,48,0.3,3,America,Fried,2.0159998533884425,4.137974665524398,0.7553778059180272,8.944968570594767,0.8266206458395875,3.8793077549956045,7.135982091482822,3.301131313229908,1.7434163049775309,6.253473144331623,8.503704866042158,6.0976836059979975,7.956512128563508,5.204215937773209,6.440495619391902,5.428313623095572
Hot Dog,850,6,Artificial,Medium,Chewy,450,12.0,25.0,35,5.0,2,America,Grilled,4.3252053855115555,5.162968359253622,7.842105009394398,2.632693579237204,3.2526262024496875,5.446032277321201,2.5909710387402884,9.375307017589527,3.969604598443448,2.0744086169713216,2.0674864111537827,7.235794631725233,7.349064902766509,0.3713561303844237,9.808123751577593,1.4856001987417866
Fried Rice,650,8,Natural,Medium,Soft,500,10.0,15.0,65,3.0,4,Chinese,Fried,9.387064735380637,7.518892166788679,0.5259281600837074,7.4213973461787255,8.688157675274388,2.4290488541642032,6.97897931753325,5.588933673550583,2.7694657076325213,2.5376843438182606,7.68528414980546,0.9899063802645225,4.711992976098212,0.5747119442467774,9.562399678001922,7.202645615462018
Chocolate,20,9,No,No,Smooth,208,2.0,13.0,24,18.0,3,Global,Processed,0.684238275747312,7.1699122076169575,4.609659361481655,0.3266655221444492,1.0835743022795141,2.4336690790745905,3.830201975800623,9.651217048315422,5.357811514767486,1.3312711806434196,8.575690709134417,3.507495244042822,7.533087329094932,8.205147616161995,5.49923449952095,5.063597128741115
Chocolate,20,9,No,No,Smooth,208,2.0,13.0,24,18.0,3,Global,Processed,0.684238275747312,7.1699122076169575,4.609659361481655,0.3266655221444492,1.0835743022795141,2.4336690790745905,3.830201975800623,9.651217048315422,5.357811514767486,1.3312711806434196,8.575690709134417,3.507495244042822,7.533087329094932,8.205147616161995,5.49923449952095,5.063597128741115
Donut,100,9,No,Low,Soft,400,4.0,20.0,50,30.0,2,America,Fried,7.2426216112899935,4.954744250751057,0.18557928260469092,1.325420941727944,5.834646547679387,6.22140411027026,1.9354808194712314,5.063556087309177,0.4756595755473991,8.604994450395454,7.829322309415815,3.23223557168928,6.245931096323075,7.256925822158985,2.8488516423072205,7.776985457528451
Pasta Alfredo,350,9,No,Low,Creamy,600,15.0,70.0,70,5.0,3,Italian,Boiled,6.4490019098243305,9.836518893297947,8.200553717700117,0.3867342736388035,9.132896881606515,7.936698889013995,2.761668122374915,3.896008826159246,9.92047700065778,2.3378711954735607,2.838991398960652,7.966780093637129,4.748682966761143,8.755368420477813,8.722473938798217,5.735098861353122
Kimchi,300,7,Natural,High,Crunchy,50,2.0,10.0,10,3.0,4,Korean,Fermented,2.3708708140868575,0.16068609322222316,5.939893825818682,9.0786534027977,9.47815571844747,6.346019434156084,0.3940371957763389,4.059184998000944,2.7720963091357143,2.0177275740516167,7.593611454636204,1.5275029921814887,1.364319677410396,9.639606628419466,3.7928486142051465,7.007591958526564
