feedback,satisfaction,improvement_score,User ID,Timestamp,Category,Feedback Sentiment,Customer Type,Response Time (hrs),Resolved Status,Resolution Time (days),Feedback Length,Engagement Score
Great value for money.,3,5,U00076,2025-01-07 07:57:59.220520,Electronics,Positive,Returning User,20,Yes,25.0,22,1.46
"Very satisfying, good quality.",4,4,U00077,2024-10-06 07:57:59.220522,Service,Positive,VIP User,30,No,,30,4.47
Great value for money.,3,5,U00078,2024-12-05 07:57:59.220524,Software,Positive,VIP User,64,Yes,24.0,22,6.4
"Not as expected, needs improvement.",2,3,U00079,2024-04-10 07:57:59.220526,Service,Positive,New User,70,Yes,28.0,35,8.13
Too spicy for me.,5,3,U00080,2025-02-24 07:57:59.220528,Service,Negative,New User,49,No,,17,5.29
"Mild flavors, could be stronger.",5,1,U00081,2024-04-25 07:57:59.220530,Software,Positive,VIP User,5,No,,32,8.66
Perfect balance of flavors.,3,3,U00082,2024-04-01 07:57:59.220532,Service,Positive,VIP User,58,Yes,24.0,27,2.6
Would recommend to friends!,3,3,U00083,2024-11-20 07:57:59.220534,Service,Positive,VIP User,17,Yes,26.0,27,4.3
"Great taste, loved it!",4,1,U00084,2024-05-08 07:57:59.220535,Food,Positive,New User,30,No,,22,8.19
Needs improvement in texture.,2,5,U00085,2024-05-11 07:57:59.220537,Service,Neutral,Returning User,17,Yes,7.0,29,8.82
Too salty for my preference.,1,5,U00086,2025-02-15 07:57:59.220539,Clothing,Positive,New User,30,Yes,24.0,28,4.59
Too spicy for me.,5,3,U00087,2024-11-23 07:57:59.220541,Clothing,Positive,Returning User,8,No,,17,2.0
Needs improvement in texture.,2,5,U00088,2024-11-08 07:57:59.220543,Clothing,Neutral,New User,17,No,,29,4.58
Too salty for my preference.,1,5,U00089,2024-07-08 07:57:59.220545,Food,Positive,New User,31,No,,28,9.89
Would recommend to friends!,3,3,U00090,2024-11-30 07:57:59.220547,Software,Negative,New User,8,Yes,29.0,27,6.79
Lacked freshness.,4,4,U00091,2024-07-05 07:57:59.220549,Clothing,Positive,VIP User,17,Yes,14.0,17,5.53
Lacked freshness.,4,4,U00092,2024-12-11 07:57:59.220551,Food,Positive,Returning User,43,Yes,14.0,17,1.12
Delicious and well-seasoned.,5,5,U00093,2024-10-15 07:57:59.220553,Clothing,Positive,New User,60,Yes,2.0,28,6.96
Needs improvement in texture.,2,5,U00094,2025-02-01 07:57:59.220555,Software,Negative,VIP User,59,No,,29,3.44
Lacked freshness.,4,4,U00095,2025-03-11 07:57:59.220557,Software,Positive,New User,13,No,,17,8.36
"Not as expected, needs improvement.",2,3,U00096,2025-02-21 07:57:59.220558,Service,Negative,New User,1,Yes,25.0,35,3.23
"Mild flavors, could be stronger.",5,1,U00097,2025-01-28 07:57:59.220560,Electronics,Negative,New User,71,Yes,15.0,32,1.79
Too salty for my preference.,1,5,U00098,2024-09-03 07:57:59.220562,Software,Neutral,Returning User,53,Yes,11.0,28,5.08
Delicious and well-seasoned.,5,5,U00099,2025-02-19 07:57:59.220564,Software,Positive,New User,58,Yes,28.0,28,9.78
Great value for money.,3,5,U00100,2024-07-20 07:57:59.220566,Electronics,Negative,VIP User,63,No,,22,4.62
Too salty for my preference.,1,5,U00101,2024-10-12 07:57:59.220568,Clothing,Positive,New User,9,Yes,15.0,28,5.75
Delicious and well-seasoned.,5,5,U00102,2024-06-27 07:57:59.220570,Food,Positive,Returning User,54,No,,28,8.31
Would recommend to friends!,3,3,U00103,2024-06-04 07:57:59.220572,Software,Negative,New User,18,Yes,3.0,27,1.42
Needs improvement in texture.,2,5,U00104,2024-09-30 07:57:59.220574,Software,Neutral,VIP User,62,Yes,30.0,29,6.23
Would recommend to friends!,3,3,U00105,2024-12-13 07:57:59.220576,Clothing,Neutral,New User,68,No,,27,3.52
"Mild flavors, could be stronger.",5,1,U00106,2024-08-27 07:57:59.220577,Clothing,Positive,New User,42,Yes,5.0,32,1.33
"Mild flavors, could be stronger.",5,1,U00107,2025-01-25 07:57:59.220579,Food,Positive,New User,43,Yes,2.0,32,3.41
Too spicy for me.,5,3,U00108,2024-08-27 07:57:59.220581,Software,Positive,New User,66,No,,17,1.37
Would recommend to friends!,3,3,U00109,2024-10-17 07:57:59.220584,Software,Negative,VIP User,1,Yes,1.0,27,1.82
"Very satisfying, good quality.",4,4,U00110,2024-06-21 07:57:59.220586,Software,Negative,Returning User,57,No,,30,5.42
Great value for money.,3,5,U00111,2024-08-17 07:57:59.220588,Software,Negative,VIP User,46,Yes,27.0,22,4.67
Could be less oily.,5,5,U00112,2025-02-22 07:57:59.220589,Food,Positive,VIP User,8,No,,19,8.11
Would recommend to friends!,3,3,U00113,2024-04-26 07:57:59.220591,Food,Negative,New User,51,Yes,3.0,27,8.58
Too spicy for me.,5,3,U00114,2024-08-07 07:57:59.220593,Food,Positive,Returning User,56,No,,17,4.88
"Amazing experience, will buy again.",2,5,U00115,2024-07-02 07:57:59.220595,Food,Neutral,VIP User,46,Yes,2.0,35,5.47
"Not as expected, needs improvement.",2,3,U00116,2025-01-20 07:57:59.220597,Electronics,Negative,Returning User,47,No,,35,9.3
Too salty for my preference.,1,5,U00117,2024-08-26 07:57:59.220599,Service,Negative,New User,12,No,,28,1.89
"Mild flavors, could be stronger.",5,1,U00118,2024-12-19 07:57:59.220601,Service,Positive,Returning User,45,Yes,29.0,32,8.91
"Amazing experience, will buy again.",2,5,U00119,2025-01-15 07:57:59.220603,Food,Negative,New User,21,No,,35,3.02
Too spicy for me.,5,3,U00120,2024-12-13 07:57:59.220606,Software,Neutral,New User,67,No,,17,2.71
Delicious and well-seasoned.,5,5,U00121,2024-05-15 07:57:59.220609,Food,Neutral,New User,24,No,,28,2.52
Could be less oily.,5,5,U00122,2024-07-29 07:57:59.220613,Electronics,Positive,VIP User,59,No,,19,9.97
Great value for money.,3,5,U00123,2024-11-17 07:57:59.220617,Service,Negative,New User,28,No,,22,3.68
Great value for money.,3,5,U00124,2025-01-16 07:57:59.220620,Clothing,Negative,VIP User,28,No,,22,7.09
Great value for money.,3,5,U00125,2025-03-19 07:57:59.220623,Food,Negative,New User,19,No,,22,1.8
"Not as expected, needs improvement.",2,3,U00126,2024-10-15 07:57:59.220626,Food,Negative,VIP User,67,Yes,14.0,35,1.71
Could be less oily.,5,5,U00127,2024-08-17 07:57:59.220629,Software,Positive,Returning User,11,No,,19,4.96
"Not as expected, needs improvement.",2,3,U00128,2024-07-24 07:57:59.220633,Clothing,Positive,Returning User,14,Yes,27.0,35,3.74
"Mild flavors, could be stronger.",5,1,U00129,2024-08-27 07:57:59.220636,Clothing,Neutral,New User,33,Yes,3.0,32,5.94
"Not as expected, needs improvement.",2,3,U00130,2025-01-29 07:57:59.220641,Clothing,Positive,Returning User,59,Yes,21.0,35,9.52
"Great taste, loved it!",4,1,U00131,2024-10-06 07:57:59.220644,Service,Neutral,VIP User,49,No,,22,9.4
Could be less oily.,5,5,U00132,2025-03-15 07:57:59.220647,Clothing,Negative,New User,69,Yes,29.0,19,3.31
"Very satisfying, good quality.",4,4,U00133,2025-01-31 07:57:59.220649,Food,Neutral,New User,3,No,,30,6.32
Could be less oily.,5,5,U00134,2024-08-16 07:57:59.220651,Food,Positive,Returning User,28,No,,19,6.21
Too spicy for me.,5,3,U00135,2024-11-17 07:57:59.220653,Clothing,Negative,VIP User,64,Yes,2.0,17,3.7
"Great taste, loved it!",4,1,U00136,2024-12-27 07:57:59.220655,Food,Negative,Returning User,20,Yes,9.0,22,8.64
Great value for money.,3,5,U00137,2025-03-09 07:57:59.220657,Software,Positive,VIP User,35,No,,22,3.18
Too spicy for me.,5,3,U00138,2024-08-15 07:57:59.220659,Food,Positive,New User,9,Yes,3.0,17,8.39
Too spicy for me.,5,3,U00139,2024-08-02 07:57:59.220661,Clothing,Neutral,VIP User,23,Yes,28.0,17,4.26
"Mild flavors, could be stronger.",5,1,U00140,2025-02-09 07:57:59.220662,Service,Positive,Returning User,26,No,,32,8.78
Portion size could be larger.,4,4,U00141,2024-11-04 07:57:59.220664,Electronics,Neutral,Returning User,45,Yes,15.0,29,7.37
Perfect balance of flavors.,3,3,U00142,2024-12-22 07:57:59.220666,Electronics,Positive,Returning User,25,No,,27,2.23
"Great taste, loved it!",4,1,U00143,2024-07-07 07:57:59.220668,Electronics,Negative,Returning User,32,Yes,5.0,22,1.38
Too spicy for me.,5,3,U00144,2024-12-16 07:57:59.220670,Electronics,Positive,New User,20,No,,17,1.61
Perfect balance of flavors.,3,3,U00145,2025-02-12 07:57:59.220672,Software,Neutral,New User,7,Yes,7.0,27,4.93
Perfect balance of flavors.,3,3,U00146,2024-10-03 07:57:59.220674,Clothing,Neutral,New User,30,No,,27,6.92
"Great taste, loved it!",4,1,U00147,2024-06-21 07:57:59.220676,Clothing,Neutral,New User,22,No,,22,8.56
Portion size could be larger.,4,4,U00148,2024-12-16 07:57:59.220678,Clothing,Positive,New User,28,Yes,25.0,29,1.46
"Amazing experience, will buy again.",2,5,U00149,2024-12-24 07:57:59.220680,Food,Positive,Returning User,65,Yes,21.0,35,1.06
Delicious and well-seasoned.,5,5,U00150,2024-07-17 07:57:59.220682,Software,Negative,Returning User,16,No,,28,6.83
"Very satisfying, good quality.",4,4,U00151,2024-12-17 07:57:59.220684,Service,Negative,VIP User,28,Yes,2.0,30,8.74
Delicious and well-seasoned.,5,5,U00152,2024-04-21 07:57:59.220686,Clothing,Neutral,VIP User,16,No,,28,4.27
Could be less oily.,5,5,U00153,2024-08-04 07:57:59.220688,Software,Positive,VIP User,20,No,,19,2.12
Great value for money.,3,5,U00154,2024-04-24 07:57:59.220690,Food,Negative,Returning User,18,Yes,23.0,22,8.17
"Very satisfying, good quality.",4,4,U00155,2024-07-08 07:57:59.220692,Software,Negative,New User,10,Yes,20.0,30,8.41
Could be less oily.,5,5,U00156,2024-06-01 07:57:59.220694,Service,Positive,VIP User,9,No,,19,9.32
Too spicy for me.,5,3,U00157,2025-03-15 07:57:59.220696,Clothing,Negative,Returning User,71,Yes,4.0,17,1.57
Great value for money.,3,5,U00158,2024-12-07 07:57:59.220698,Electronics,Negative,VIP User,47,Yes,7.0,22,8.32
Too salty for my preference.,1,5,U00159,2025-03-20 07:57:59.220700,Service,Negative,VIP User,60,No,,28,7.31
"Great taste, loved it!",4,1,U00160,2024-10-21 07:57:59.220701,Electronics,Negative,Returning User,33,Yes,7.0,22,7.44
"Very satisfying, good quality.",4,4,U00161,2024-05-22 07:57:59.220703,Food,Neutral,VIP User,61,Yes,12.0,30,7.34
"Very satisfying, good quality.",4,4,U00162,2024-11-22 07:57:59.220705,Food,Negative,New User,12,Yes,19.0,30,7.45
Would recommend to friends!,3,3,U00163,2024-04-26 07:57:59.220707,Clothing,Neutral,Returning User,6,Yes,15.0,27,8.38
Too spicy for me.,5,3,U00164,2024-05-02 07:57:59.220709,Service,Neutral,New User,4,Yes,5.0,17,9.55
"Amazing experience, will buy again.",2,5,U00165,2024-10-24 07:57:59.220711,Food,Neutral,VIP User,33,Yes,13.0,35,6.97
Perfect balance of flavors.,3,3,U00166,2024-08-21 07:57:59.220713,Clothing,Neutral,New User,1,No,,27,6.56
Great value for money.,3,5,U00167,2024-08-06 07:57:59.220715,Electronics,Neutral,Returning User,26,No,,22,7.25
Too spicy for me.,5,3,U00168,2024-05-23 07:57:59.220717,Electronics,Neutral,Returning User,13,No,,17,5.43
Lacked freshness.,4,4,U00169,2024-11-15 07:57:59.220719,Service,Negative,New User,24,No,,17,8.72
Portion size could be larger.,4,4,U00170,2024-12-03 07:57:59.220721,Service,Neutral,New User,15,No,,29,5.4
Perfect balance of flavors.,3,3,U00171,2025-01-22 07:57:59.220722,Software,Positive,Returning User,53,Yes,14.0,27,4.34
"Great taste, loved it!",4,1,U00172,2024-06-16 07:57:59.220724,Electronics,Positive,Returning User,52,No,,22,6.57
Perfect balance of flavors.,3,3,U00173,2024-04-16 07:57:59.220726,Clothing,Neutral,VIP User,15,No,,27,5.75
"Amazing experience, will buy again.",2,5,U00174,2024-06-23 07:57:59.220729,Food,Positive,VIP User,36,Yes,10.0,35,4.23
"Mild flavors, could be stronger.",5,1,U00175,2024-07-12 07:57:59.220731,Food,Negative,New User,48,Yes,25.0,32,7.82
Would recommend to friends!,3,3,U00176,2024-09-29 07:57:59.220733,Service,Positive,New User,69,No,,27,2.44
Perfect balance of flavors.,3,3,U00177,2024-03-26 07:57:59.220735,Clothing,Positive,VIP User,11,No,,27,9.3
"Great taste, loved it!",4,1,U00178,2024-12-02 07:57:59.220737,Electronics,Positive,VIP User,10,Yes,5.0,22,1.25
"Amazing experience, will buy again.",2,5,U00179,2024-05-17 07:57:59.220738,Electronics,Positive,New User,29,No,,35,3.28
Delicious and well-seasoned.,5,5,U00180,2025-03-19 07:57:59.220740,Clothing,Neutral,VIP User,24,No,,28,4.56
"Very satisfying, good quality.",4,4,U00181,2024-12-10 07:57:59.220742,Electronics,Positive,VIP User,47,No,,30,7.01
"Mild flavors, could be stronger.",5,1,U00182,2024-07-01 07:57:59.220745,Clothing,Negative,Returning User,48,Yes,9.0,32,9.19
Would recommend to friends!,3,3,U00183,2024-11-06 07:57:59.220748,Electronics,Positive,Returning User,3,Yes,8.0,27,4.36
"Very satisfying, good quality.",4,4,U00184,2025-03-09 07:57:59.220751,Food,Neutral,New User,64,Yes,10.0,30,6.38
Portion size could be larger.,4,4,U00185,2025-02-15 07:57:59.220755,Electronics,Neutral,Returning User,53,No,,29,3.82
Could be less oily.,5,5,U00186,2025-02-26 07:57:59.220758,Electronics,Neutral,VIP User,64,No,,19,7.3
"Mild flavors, could be stronger.",5,1,U00187,2024-04-17 07:57:59.220761,Clothing,Negative,New User,47,No,,32,8.66
"Mild flavors, could be stronger.",5,1,U00188,2024-11-10 07:57:59.220764,Food,Neutral,New User,9,No,,32,9.15
Delicious and well-seasoned.,5,5,U00189,2024-06-22 07:57:59.220768,Service,Neutral,VIP User,32,No,,28,8.82
Delicious and well-seasoned.,5,5,U00190,2024-08-30 07:57:59.220772,Service,Neutral,Returning User,18,No,,28,6.2
Great value for money.,3,5,U00191,2024-11-29 07:57:59.220775,Electronics,Negative,VIP User,1,No,,22,3.83
"Not as expected, needs improvement.",2,3,U00192,2024-06-17 07:57:59.220777,Service,Positive,New User,66,Yes,17.0,35,7.27
Perfect balance of flavors.,3,3,U00193,2024-03-25 07:57:59.220779,Software,Negative,VIP User,29,Yes,16.0,27,1.81
"Mild flavors, could be stronger.",5,1,U00194,2024-10-14 07:57:59.220781,Service,Positive,New User,31,No,,32,4.04
"Very satisfying, good quality.",4,4,U00195,2025-02-19 07:57:59.220783,Service,Positive,VIP User,55,Yes,5.0,30,6.64
"Great taste, loved it!",4,1,U00196,2024-11-14 07:57:59.220785,Food,Neutral,Returning User,57,No,,22,2.43
Needs improvement in texture.,2,5,U00197,2025-03-01 07:57:59.220787,Electronics,Positive,New User,60,No,,29,9.53
"Not as expected, needs improvement.",2,3,U00198,2024-06-06 07:57:59.220789,Food,Negative,Returning User,50,No,,35,1.25
Needs improvement in texture.,2,5,U00199,2024-06-13 07:57:59.220791,Clothing,Positive,VIP User,18,No,,29,9.48
Would recommend to friends!,3,3,U00200,2024-04-20 07:57:59.220793,Food,Neutral,VIP User,20,Yes,21.0,27,9.98
"Amazing experience, will buy again.",2,5,U00201,2024-09-02 07:57:59.220795,Food,Negative,New User,60,No,,35,8.78
"Very satisfying, good quality.",4,4,U00202,2024-05-12 07:57:59.220799,Service,Neutral,VIP User,50,No,,30,2.99
"Very satisfying, good quality.",4,4,U00203,2024-12-23 07:57:59.220801,Food,Neutral,Returning User,31,No,,30,7.63
"Not as expected, needs improvement.",2,3,U00204,2024-10-02 07:57:59.220803,Service,Negative,VIP User,37,No,,35,7.61
"Mild flavors, could be stronger.",5,1,U00205,2024-06-11 07:57:59.220805,Food,Positive,VIP User,51,Yes,3.0,32,3.2
Portion size could be larger.,4,4,U00206,2025-01-15 07:57:59.220807,Food,Neutral,Returning User,12,No,,29,7.33
"Not as expected, needs improvement.",2,3,U00207,2024-08-07 07:57:59.220809,Clothing,Positive,VIP User,8,No,,35,9.76
Needs improvement in texture.,2,5,U00208,2025-01-19 07:57:59.220811,Food,Positive,VIP User,41,Yes,30.0,29,3.12
"Not as expected, needs improvement.",2,3,U00209,2024-05-18 07:57:59.220812,Food,Neutral,New User,60,Yes,12.0,35,7.93
"Very satisfying, good quality.",4,4,U00210,2025-03-13 07:57:59.220814,Electronics,Negative,Returning User,26,Yes,21.0,30,6.75
Portion size could be larger.,4,4,U00211,2024-05-18 07:57:59.220816,Service,Neutral,New User,26,No,,29,9.38
Perfect balance of flavors.,3,3,U00212,2024-09-25 07:57:59.220818,Software,Neutral,New User,23,No,,27,2.12
Lacked freshness.,4,4,U00213,2024-05-20 07:57:59.220820,Food,Negative,New User,60,No,,17,2.5
Great value for money.,3,5,U00214,2025-01-09 07:57:59.220822,Clothing,Neutral,Returning User,28,No,,22,4.95
Too salty for my preference.,1,5,U00215,2024-05-21 07:57:59.220824,Service,Positive,Returning User,24,Yes,13.0,28,8.7
Delicious and well-seasoned.,5,5,U00216,2024-04-14 07:57:59.220826,Electronics,Negative,Returning User,70,No,,28,4.25
"Not as expected, needs improvement.",2,3,U00217,2024-12-09 07:57:59.220828,Software,Positive,VIP User,34,No,,35,1.58
Would recommend to friends!,3,3,U00218,2024-05-02 07:57:59.220830,Clothing,Negative,VIP User,69,Yes,3.0,27,2.95
Could be less oily.,5,5,U00219,2024-11-23 07:57:59.220832,Food,Neutral,Returning User,18,Yes,18.0,19,6.12
"Amazing experience, will buy again.",2,5,U00220,2024-06-14 07:57:59.220834,Service,Neutral,VIP User,5,Yes,28.0,35,2.36
Lacked freshness.,4,4,U00221,2024-06-27 07:57:59.220836,Software,Negative,VIP User,52,No,,17,9.79
Great value for money.,3,5,U00222,2024-05-21 07:57:59.220838,Electronics,Neutral,VIP User,67,No,,22,3.24
Great value for money.,3,5,U00223,2024-09-17 07:57:59.220840,Electronics,Positive,VIP User,30,No,,22,1.15
Great value for money.,3,5,U00224,2024-07-18 07:57:59.220842,Food,Neutral,New User,59,Yes,27.0,22,5.16
Great value for money.,3,5,U00225,2024-04-19 07:57:59.220844,Software,Positive,New User,18,No,,22,4.32
Needs improvement in texture.,2,5,U00226,2024-07-04 07:57:59.220846,Electronics,Positive,VIP User,62,Yes,7.0,29,5.6
Would recommend to friends!,3,3,U00227,2024-07-12 07:57:59.220848,Software,Negative,VIP User,13,Yes,8.0,27,3.1
